Date,User,Message
2026-01-05 09:11:14,밤샘개발자,에이전트 오케스트레이션 재밌음
2026-01-05 09:24:08,밤샘개발자,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-05 09:26:03,논쟁왕,도커 컴포즈로 올렸어요
2026-01-05 09:38:21,클라우드덕후,에러 나는데 봐주실 분?
2026-01-05 09:38:47,조용한관찰자,무슨 라이브러리 쓰세요?
2026-01-05 09:52:08,서버지기,요즘 클로드 코드 진짜 좋네요
2026-01-05 09:58:20,신입인사,에이전트 오케스트레이션 재밌음
2026-01-05 10:05:07,질문요정,베타 테스터 모집합니다
2026-01-05 10:11:37,논쟁왕,요즘 클로드 코드 진짜 좋네요
2026-01-05 10:13:18,드립장인,토큰 값이 부담이네요 ㅠㅠ
2026-01-05 10:19:51,조용한관찰자,주말에 뭐하세요
2026-01-05 10:31:50,질문요정,저희 서비스 피드백 부탁드려요
2026-01-05 10:34:57,프롬프트냥이,무슨 라이브러리 쓰세요?
2026-01-05 10:44:47,드립장인,다들 점심 뭐 드셨어요
2026-01-05 10:50:30,커피중독,다들 점심 뭐 드셨어요
2026-01-05 11:03:05,서버지기,배포 자동화 어떻게 하세요?
2026-01-05 11:11:14,링크수집가,ㅋㅋㅋㅋ 이건 못참지
2026-01-05 11:16:03,모델러,베타 테스터 모집합니다
2026-01-05 11:18:44,취준생J,이거 혹시 어떻게 하나요?
2026-01-05 11:21:40,조용한관찰자,이거 혹시 어떻게 하나요?
2026-01-05 11:29:59,취준생J,이모티콘
2026-01-05 11:42:37,밤샘개발자,베타 테스터 모집합니다
2026-01-05 11:47:57,모델러,사진
2026-01-05 12:00:36,신입인사,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-05 12:11:36,프로덕트메이커,저희 서비스 피드백 부탁드려요
2026-01-05 12:14:41,클라우드덕후,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-05 12:16:55,디자인하는나무,사진
2026-01-05 12:26:55,질문요정,에이전트 오케스트레이션 재밌음
2026-01-05 12:40:13,클라우드덕후,caddy 리버스프록시 편하던데요
2026-01-05 12:43:22,신입인사,저희 서비스 피드백 부탁드려요
2026-01-05 12:52:54,논쟁왕,오늘 날씨 좋네요
2026-01-05 13:00:42,취준생J,이거 혹시 어떻게 하나요?
2026-01-05 13:01:23,클라우드덕후,사진
2026-01-05 13:13:47,코드짜는 곰,도커 컴포즈로 올렸어요
2026-01-05 13:15:19,취준생J,오라클 프리티어 쓰는 중
2026-01-05 13:17:54,오픈소스러,배포 자동화 어떻게 하세요?
2026-01-05 13:19:53,모델러,오늘 날씨 좋네요
2026-01-05 13:21:08,밤샘개발자,토큰 값이 부담이네요 ㅠㅠ
2026-01-05 13:23:19,드립장인,caddy 리버스프록시 편하던데요
2026-01-05 13:26:46,신입인사,에러 나는데 봐주실 분?
2026-01-05 13:40:53,클라우드덕후,요즘 클로드 코드 진짜 좋네요
2026-01-05 13:41:28,질문요정,caddy 리버스프록시 편하던데요
2026-01-05 13:48:38,코드짜는 곰,사진
2026-01-05 13:55:37,신입인사,무슨 라이브러리 쓰세요?
2026-01-05 14:09:19,클라우드덕후,에러 나는데 봐주실 분?
2026-01-05 14:10:38,클라우드덕후,에이전트 오케스트레이션 재밌음
2026-01-05 14:19:06,취준생J,사진
2026-01-05 14:28:06,질문요정,도커 컴포즈로 올렸어요
2026-01-05 14:32:26,커피중독,임베딩 모델 추천 좀요
2026-01-05 14:43:20,질문요정,무슨 라이브러리 쓰세요?
2026-01-05 14:55:53,서버지기,오라클 프리티어 쓰는 중
2026-01-05 15:01:20,프롬프트냥이,사진
2026-01-05 15:12:16,밤샘개발자,임베딩 모델 추천 좀요
2026-01-05 15:18:33,질문요정,오라클 프리티어 쓰는 중
2026-01-05 15:28:09,프로덕트메이커,저희 서비스 피드백 부탁드려요
2026-01-05 15:37:56,프로덕트메이커,gpt랑 비교하면 어때요?
2026-01-05 15:50:56,클라우드덕후,오라클 프리티어 쓰는 중
2026-01-05 15:57:07,논쟁왕,커피 한 잔 하고 갑니다
2026-01-05 16:11:53,코드짜는 곰,에이전트 오케스트레이션 재밌음
2026-01-05 16:12:16,서버지기,오라클 프리티어 쓰는 중
2026-01-05 16:24:38,모델러,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-05 16:36:45,링크수집가,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-05 16:39:36,모델러,도커 컴포즈로 올렸어요
2026-01-05 16:53:31,코드짜는 곰,ㅋㅋㅋㅋ 이건 못참지
2026-01-05 16:59:53,클라우드덕후,에러 나는데 봐주실 분?
2026-01-05 17:02:59,조용한관찰자,이거 혹시 어떻게 하나요?
2026-01-05 17:16:40,모델러,오라클 프리티어 쓰는 중
2026-01-05 17:23:31,코드짜는 곰,에러 나는데 봐주실 분?
2026-01-05 17:29:49,프로덕트메이커,사진
2026-01-05 17:33:26,커피중독,주말에 뭐하세요
